LED_type,Sample_ID,Material,Dies,CCT,Ts,IF,Time,Flux
1,18,2,2,2700,56.8,100,541,99.2
1,18,2,2,2700,56.8,100,1008,99.2
1,18,2,2,2700,56.8,100,1698,99.2
1,18,2,2,2700,56.8,100,2380,98.9
1,18,2,2,2700,56.8,100,3142,98.8
1,18,2,2,2700,56.8,100,3830,98.7
1,18,2,2,2700,56.8,100,4545,98.6
1,18,2,2,2700,56.8,100,5210,98.6
1,18,2,2,2700,56.8,100,6044,98.3
1,18,2,2,2700,56.8,100,6805,98.2
1,18,2,2,2700,56.8,100,7601,98
1,18,2,2,2700,56.8,100,8436,98.1
1,18,2,2,2700,56.8,100,9269,97.8
1,18,2,2,2700,56.8,100,10100,98.2
1,19,2,2,2700,56.8,100,0,100
1,19,2,2,2700,56.8,100,541,98.8
1,19,2,2,2700,56.8,100,1008,99.1
1,19,2,2,2700,56.8,100,1698,99
1,19,2,2,2700,56.8,100,2380,98.7
1,19,2,2,2700,56.8,100,3142,98.6
1,19,2,2,2700,56.8,100,3830,98.6
1,19,2,2,2700,56.8,100,4545,98.5
1,19,2,2,2700,56.8,100,5210,98.5
1,19,2,2,2700,56.8,100,6044,98.3
1,19,2,2,2700,56.8,100,6805,98.1
1,19,2,2,2700,56.8,100,7601,98
1,19,2,2,2700,56.8,100,8436,98.1
1,19,2,2,2700,56.8,100,9269,97.7
1,19,2,2,2700,56.8,100,10100,98
1,20,2,2,2700,56.8,100,0,100
1,20,2,2,2700,56.8,100,541,99
1,20,2,2,2700,56.8,100,1008,99.2
1,20,2,2,2700,56.8,100,1698,99.2
1,20,2,2,2700,56.8,100,2380,98.8
1,20,2,2,2700,56.8,100,3142,98.7
1,20,2,2,2700,56.8,100,3830,98.6
1,20,2,2,2700,56.8,100,4545,98.5
1,20,2,2,2700,56.8,100,5210,98.5
1,20,2,2,2700,56.8,100,6044,98.4
1,20,2,2,2700,56.8,100,6805,98.2
1,20,2,2,2700,56.8,100,7601,98.1
1,20,2,2,2700,56.8,100,8436,98.1
1,20,2,2,2700,56.8,100,9269,97.7
1,20,2,2,2700,56.8,100,10100,97.9
1,21,2,2,2700,56.8,100,0,100
1,21,2,2,2700,56.8,100,541,98.8
1,21,2,2,2700,56.8,100,1008,98.9
1,21,2,2,2700,56.8,100,1698,98.9
