Test_ID,Sample_ID,Ts,IF,Time,Flux_t
4,25,105,0.35,9576,0.9569
4,1,105,0.35,10080,0.9541
4,2,105,0.35,10080,0.9491
4,3,105,0.35,10080,0.9775
4,4,105,0.35,10080,0.945
4,5,105,0.35,10080,0.9623
4,6,105,0.35,10080,0.9523
4,7,105,0.35,10080,0.9566
4,8,105,0.35,10080,0.9615
4,9,105,0.35,10080,0.9766
4,10,105,0.35,10080,0.9682
4,11,105,0.35,10080,0.9611
4,12,105,0.35,10080,0.985
4,13,105,0.35,10080,0.9663
4,14,105,0.35,10080,0.9527
4,15,105,0.35,10080,0.9521
4,16,105,0.35,10080,0.9466
4,17,105,0.35,10080,0.9466
4,18,105,0.35,10080,0.9613
4,19,105,0.35,10080,0.9655
4,20,105,0.35,10080,0.9697
4,21,105,0.35,10080,0.9526
4,22,105,0.35,10080,0.9636
4,23,105,0.35,10080,0.9681
4,24,105,0.35,10080,0.9582
4,25,105,0.35,10080,0.9529
4,1,105,0.35,10500,0.9696
4,2,105,0.35,10500,0.9516
4,3,105,0.35,10500,0.9761
4,4,105,0.35,10500,0.9596
4,5,105,0.35,10500,0.9736
4,6,105,0.35,10500,0.9702
4,7,105,0.35,10500,0.9764
4,8,105,0.35,10500,0.9745
4,9,105,0.35,10500,0.9758
4,10,105,0.35,10500,0.9525
4,11,105,0.35,10500,0.9578
4,12,105,0.35,10500,0.9772
4,13,105,0.35,10500,0.9747
4,14,105,0.35,10500,0.9612
4,15,105,0.35,10500,0.9603
4,16,105,0.35,10500,0.9512
4,17,105,0.35,10500,0.9511
4,18,105,0.35,10500,0.9512
4,19,105,0.35,10500,0.9619
4,20,105,0.35,10500,0.9569
4,21,105,0.35,10500,0.9623
4,22,105,0.35,10500,0.9566
4,23,105,0.35,10500,0.9765
4,24,105,0.35,10500,0.9664
4,25,105,0.35,10500,0.964
4,1,105,0.35,11000,0.9472
4,2,105,0.35,11000,0.954
4,3,105,0.35,11000,0.9764
4,4,105,0.35,11000,0.9534
4,5,105,0.35,11000,0.9606
4,6,105,0.35,11000,0.9587
4,7,105,0.35,11000,0.9622
4,8,105,0.35,11000,0.9639
4,9,105,0.35,11000,0.9768
4,10,105,0.35,11000,0.9567
4,11,105,0.35,11000,0.9626
4,12,105,0.35,11000,0.9774
4,13,105,0.35,11000,0.97
4,14,105,0.35,11000,0.9564
4,15,105,0.35,11000,0.9566
4,16,105,0.35,11000,0.9504
4,17,105,0.35,11000,0.9461
4,18,105,0.35,11000,0.9565
4,19,105,0.35,11000,0.9598
4,20,105,0.35,11000,0.9675
4,21,105,0.35,11000,0.9606
4,22,105,0.35,11000,0.9632
4,23,105,0.35,11000,0.9726
4,24,105,0.35,11000,0.9613
4,25,105,0.35,11000,0.9597
5,1,85,0.25,0,1
5,2,85,0.25,0,1
5,3,85,0.25,0,1
5,4,85,0.25,0,1
5,5,85,0.25,0,1
5,6,85,0.25,0,1
5,7,85,0.25,0,1
5,8,85,0.25,0,1
5,9,85,0.25,0,1
5,10,85,0.25,0,1
5,11,85,0.25,0,1
5,12,85,0.25,0,1
5,13,85,0.25,0,1
5,14,85,0.25,0,1
5,15,85,0.25,0,1
5,16,85,0.25,0,1
5,17,85,0.25,0,1
5,18,85,0.25,0,1
5,19,85,0.25,0,1
5,20,85,0.25,0,1
5,1,85,0.25,168,0.9759
5,2,85,0.25,168,0.9808
5,3,85,0.25,168,0.987
5,4,85,0.25,168,0.9753
5,5,85,0.25,168,0.9795
5,6,85,0.25,168,0.9758
5,7,85,0.25,168,0.9828
5,8,85,0.25,168,0.988
5,9,85,0.25,168,0.9748
5,10,85,0.25,168,0.9837
5,11,85,0.25,168,0.9756
5,12,85,0.25,168,0.9779
5,13,85,0.25,168,0.986
5,14,85,0.25,168,0.9758
5,15,85,0.25,168,0.9858
5,16,85,0.25,168,0.9756
5,17,85,0.25,168,0.9866
5,18,85,0.25,168,0.9931
5,19,85,0.25,168,0.9792
5,20,85,0.25,168,0.9924
5,1,85,0.25,1008,0.9749
5,2,85,0.25,1008,0.981
5,3,85,0.25,1008,0.9913
5,4,85,0.25,1008,0.9755
5,5,85,0.25,1008,0.9794
5,6,85,0.25,1008,0.9739
5,7,85,0.25,1008,0.9802
5,8,85,0.25,1008,0.987
5,9,85,0.25,1008,0.9751
5,10,85,0.25,1008,0.9842
5,11,85,0.25,1008,0.9746
5,12,85,0.25,1008,0.9858
5,13,85,0.25,1008,0.9861
5,14,85,0.25,1008,0.9774
5,15,85,0.25,1008,0.9817
5,16,85,0.25,1008,0.9746
5,17,85,0.25,1008,0.9925
5,18,85,0.25,1008,0.9952
5,19,85,0.25,1008,0.9748
5,20,85,0.25,1008,0.9918
5,1,85,0.25,1512,0.9724
5,2,85,0.25,1512,0.9822
5,3,85,0.25,1512,0.9865
5,4,85,0.25,1512,0.9743
5,5,85,0.25,1512,0.9789
5,6,85,0.25,1512,0.9777
5,7,85,0.25,1512,0.9836
5,8,85,0.25,1512,0.9866
5,9,85,0.25,1512,0.9788
5,10,85,0.25,1512,0.9845
5,11,85,0.25,1512,0.9739
5,12,85,0.25,1512,0.9853
5,13,85,0.25,1512,0.9828
5,14,85,0.25,1512,0.9755
5,15,85,0.25,1512,0.9773
5,16,85,0.25,1512,0.9741
5,17,85,0.25,1512,0.9918
