Test_ID,Sample_ID,Time,Flux_t,DeltaColor_t
1,5,368,0.87772,0.005356902
1,5,391,0.90081,0.005517463
1,5,414,0.89586,0.005356902
1,5,437,0.8963,0.005546927
1,5,460,0.89129,0.005451825
1,5,483,0.89025,0.005517101
1,5,506,0.88519,0.0057088
1,5,529,0.87908,0.005874726
1,5,552,0.88262,0.00624503
1,5,575,0.86936,0.006216945
1,5,598,0.87294,0.006120817
1,5,621,0.8725,0.0060938
1,5,644,0.8621,0.006340852
1,5,667,0.85581,0.006725355
1,5,690,0.79914,0.006512634
1,5,713,0.78556,0.007182924
1,5,736,0.7927,0.00679694
1,5,759,0.78685,0.006913928
1,5,782,0.78588,0.006779853
1,5,805,0.7804,0.006913928
1,5,828,0.78114,0.007003456
1,5,851,0.77765,0.006736201
1,5,874,0.73104,0.007584748
1,5,897,0.76034,0.008121478
1,5,920,0.76434,0.007495492
1,5,943,0.75909,0.007048291
1,5,966,0.76117,0.007495492
1,5,989,0.73434,0.007497226
1,5,1012,0.77005,0.007316857
1,5,1035,0.74266,0.007316857
1,5,1058,0.75671,0.007495492
1,5,1081,0.75621,0.007676484
1,5,1104,0.73994,0.007636256
1,5,1127,0.74634,0.007908502
1,5,1150,0.7493,0.007271891
1,5,1173,0.73296,0.007005883
1,5,1196,0.72856,0.006917832
1,5,1219,0.73014,0.006917832
1,5,1242,0.72376,0.00746193
1,5,1265,0.72746,0.006159903
1,5,1288,0.72276,0.006694356
1,5,1311,0.71692,0.006742729
1,5,1334,0.7134,0.006917832
1,5,1357,0.70915,0.007452946
1,5,1380,0.7095,0.007238674
1,5,1403,0.70816,0.007500427
1,5,1426,0.70294,0.007723885
1,5,1449,0.69769,0.007500427
1,5,1472,0.69767,0.007636256
1,5,1495,0.69794,0.007238674
1,5,1518,0.67754,0.007276977
1,5,1541,0.68639,0.007238674
1,5,1564,0.68526,0.007141316
1,5,1587,0.68431,0.007719093
1,5,1610,0.6811,0.007630098
1,5,1633,0.67622,0.007811812
1,6,0,1,0
1,6,23,1.0045,0.001132961
1,6,46,0.9579,0.002998266
1,6,69,0.98307,0.003285666
1,6,92,0.95488,0.003825389
1,6,115,0.90842,0.003918622
1,6,138,0.9447,0.004271019
1,6,161,0.939,0.004328233
1,6,184,0.9371,0.004610813
1,6,207,0.92799,0.005054463
1,6,230,0.92746,0.005211679
1,6,253,0.91717,0.005627397
1,6,276,0.90923,0.006002966
1,6,299,0.90679,0.0060347
1,6,322,0.91464,0.005881802
1,6,345,0.90079,0.006321677
1,6,368,0.86399,0.006706087
1,6,391,0.89113,0.006706087
1,6,414,0.88529,0.006953819
1,6,437,0.88299,0.006873543
1,6,460,0.8801,0.006898956
1,6,483,0.87737,0.007188992
1,6,506,0.87451,0.007164607
1,6,529,0.87068,0.00745638
1,6,552,0.8682,0.007771332
1,6,575,0.86135,0.007916792
1,6,598,0.86384,0.007795101
1,6,621,0.86232,0.007795101
1,6,644,0.84905,0.007989218
1,6,667,0.84892,0.008378281
1,6,690,0.79281,0.008524647
1,6,713,0.78134,0.008709397
1,6,736,0.78964,0.00819058
1,6,759,0.78134,0.008449237
1,6,782,0.7827,0.008356291
1,6,805,0.77794,0.008709397
1,6,828,0.77344,0.008672001
1,6,851,0.77033,0.008524647
1,6,874,0.72998,0.009233721
1,6,897,0.75832,0.009497663
1,6,920,0.7615,0.009142188
1,6,943,0.7566,0.008524647
1,6,966,0.75711,0.008787127
1,6,989,0.73114,0.009024943
1,6,1012,0.76362,0.008672001
1,6,1035,0.73783,0.008765021
